TF-IDF,Word2Vec,BERT,Combined
0.6766724791678412,0.9103004172692977,1.0,0.6806439449823276
0.47194954558545005,0.9079058122262996,0.6630482249344751,0.5241892019614715
0.41910700150655716,0.9076268777443317,0.6525946642734893,0.4925583273522511
0.4048388150841089,0.9065189582003765,0.650186204323314,0.48256400415400186
0.3826081499073198,0.9013652778354524,0.6452648775528238,0.4745462848718666
0.33248960020246365,0.9013202148370416,0.6448759239842828,0.39900154585940306
0.3235827918245,0.9005270178135704,0.6398558873047102,0.3984146461905038
0.32199436795813696,0.8990669861526075,0.6391638627180213,0.3963293776678718
0.3204173659380157,0.8988615534648189,0.6372542086312629,0.3921358597011503
0.31733574582018614,0.8987279135962717,0.635961019456263,0.3914589470504969
