TF-IDF,Word2Vec,BERT,Combined
0.41859250310307117,0.8804351679738253,1.0,0.4789960685833593
0.41855780134426196,0.8724038852330157,0.6630482249344751,0.47461856225072435
0.4181653049714962,0.8688788661100442,0.6525946642734893,0.47219943022819166
0.41421192449450583,0.8681148289957673,0.650186204323314,0.46627047989636633
0.4114568303824704,0.8680362722058557,0.6452648775528238,0.4646225479600591
0.4064932803784154,0.8656683154224911,0.6448759239842828,0.4642599725633653
0.4016775009312981,0.8646368728340202,0.6398558873047102,0.4633582328771315
0.4006263233922702,0.8640794833496604,0.6391638627180213,0.4379263983283706
0.3647325103899334,0.8624388321416566,0.6372542086312629,0.41760570873953246
0.3483114630593385,0.8608223296821725,0.635961019456263,0.4131213954314897
