TF-IDF,Word2Vec,BERT,Combined
0.6060207595147521,0.7999665949663077,1.0,0.5925892959691373
0.5840393019088024,0.7886984578746036,0.6630482249344751,0.5883554677738206
0.5218740925365256,0.7857157796565486,0.6525946642734893,0.5482563403737833
0.46663912578244454,0.7843643357936949,0.650186204323314,0.4943906955497674
0.4527394385737759,0.782115549541597,0.6452648775528238,0.46463219435970404
0.41460146545810805,0.7781976016432764,0.6448759239842828,0.4548491195928232
0.410260603839828,0.7780525635530277,0.6398558873047102,0.4435004222450324
0.4075373423653902,0.7768387219236917,0.6391638627180213,0.43903400401015696
0.40748781786572186,0.7763008118795822,0.6372542086312629,0.4371461154749034
0.3895187075930933,0.7747921815140797,0.635961019456263,0.42171194767136555
